id,age,gender,income,spending_score,membership_years,purchase_frequency,preferred_category,last_purchase_amount,age_group,income_group,spending_group,customer_value_score,recency,frequency,monetary,R_score,F_score,M_score,RFM_score,kmeans_cluster,rfm_segment,estimated_clv
1,38,Female,99342,90,3,24,Groceries,113.53,35-44,Medium,High Spenders,72.0426,197,24,113.53,3,3,1,331,3,Others,8174.160000000001
2,21,Female,78852,60,2,42,Sports,41.93,18-24,Medium,Medium Spenders,52.0756,71,42,41.93,5,5,1,551,3,New Customers,3522.12
3,60,Female,126573,30,2,28,Clothing,424.36,55-64,High,Medium Spenders,54.2519,169,28,424.36,3,3,3,333,0,Others,23764.16
4,40,Other,47099,74,9,5,Home & Garden,991.93,35-44,Low,High Spenders,61.7797,330,5,991.93,1,1,5,115,1,Cannot Lose Them,44636.85
5,65,Female,140621,21,3,25,Electronics,347.08,65+,High,Low Spenders,56.8363,190,25,347.08,3,3,2,332,2,Others,26031.0
6,31,Other,57305,24,3,30,Home & Garden,86.85,25-34,Medium,Low Spenders,33.091499999999996,155,30,86.85,3,3,1,331,2,Others,7816.5
7,19,Other,54319,68,5,43,Clothing,191.72,18-24,Medium,Medium Spenders,53.9257,64,43,191.72,5,5,2,552,3,New Customers,41219.799999999996
8,43,Male,108115,94,9,27,Groceries,734.56,35-44,High,High Spenders,88.3045,176,27,734.56,3,3,4,334,1,Promising,178498.08
9,53,Male,34424,29,6,7,Sports,951.71,45-54,Low,Low Spenders,33.9972,316,7,951.71,1,1,5,115,0,Cannot Lose Them,39971.82
10,55,Female,45839,55,7,2,Electronics,821.18,55-64,Low,Medium Spenders,49.7717,351,2,821.18,1,1,5,115,0,Cannot Lose Them,11496.519999999999
11,23,Other,69659,16,7,24,Clothing,434.97,18-24,Medium,Low Spenders,41.5377,197,24,434.97,3,3,3,333,2,Others,73074.96
12,68,Other,30058,91,1,49,Groceries,889.94,65+,Low,High Spenders,47.9074,22,49,889.94,5,5,5,555,0,Champions,43607.060000000005
13,29,Female,87461,81,3,27,Home & Garden,101.07,25-34,Medium,High Spenders,64.9083,176,27,101.07,3,3,1,331,3,Others,8186.67
14,64,Other,33018,46,4,3,Sports,221.35,55-64,Low,Medium Spenders,36.33540000000001,344,3,221.35,1,1,2,112,3,Others,2656.2
15,33,Male,112260,17,5,8,Home & Garden,915.89,25-34,High,Low Spenders,50.55799999999999,309,8,915.89,1,1,5,115,0,Cannot Lose Them,36635.6
16,53,Male,129284,17,6,26,Clothing,225.4,45-54,High,Low Spenders,57.8452,183,26,225.4,3,3,2,332,2,Others,35162.4
17,57,Male,102535,29,5,13,Clothing,378.47,55-64,High,Low Spenders,52.490500000000004,274,13,378.47,2,2,2,222,2,Others,24600.550000000003
18,22,Male,41849,22,1,31,Sports,844.08,18-24,Low,Low Spenders,23.6647,148,31,844.08,4,3,5,435,0,Loyal Customers,26166.48
19,37,Male,95491,90,6,21,Home & Garden,454.83,35-44,Medium,High Spenders,76.8573,218,21,454.83,2,2,3,223,3,Others,57308.58
20,31,Male,97103,70,3,17,Groceries,61.3,25-34,Medium,High Spenders,63.3009,246,17,61.3,2,2,1,221,3,Price Sensitive,3126.2999999999997
21,19,Female,82519,13,4,4,Home & Garden,742.39,18-24,Medium,Low Spenders,37.9957,337,4,742.39,1,1,4,114,0,Cannot Lose Them,11878.24
22,22,Male,49077,74,10,47,Home & Garden,799.31,18-24,Low,High Spenders,64.7931,36,47,799.31,5,5,4,554,1,Champions,375675.7
23,36,Other,85473,68,1,16,Sports,806.55,35-44,Medium,Medium Spenders,55.0019,253,16,806.55,2,2,5,225,0,Others,12904.8
24,41,Other,81758,87,7,9,Clothing,482.2,35-44,Medium,High Spenders,73.4174,302,9,482.2,1,1,3,113,3,Others,30378.600000000002
25,69,Female,36140,78,5,39,Sports,508.86,65+,Low,High Spenders,52.432,92,39,508.86,4,4,3,443,1,Others,99227.70000000001
26,33,Other,141757,60,10,39,Groceries,83.27,25-34,High,Medium Spenders,86.91709999999999,92,39,83.27,4,4,1,441,2,Others,32475.299999999996
27,54,Male,35394,10,9,4,Groceries,124.29,45-54,Low,Low Spenders,32.6582,337,4,124.29,1,1,1,111,2,Others,4474.4400000000005
28,30,Female,50680,19,7,27,Sports,515.88,25-34,Medium,Low Spenders,37.074000000000005,176,27,515.88,3,3,3,333,2,Others,97501.32
29,18,Female,70721,78,7,1,Home & Garden,191.9,18-24,Medium,High Spenders,66.42630000000001,358,1,191.9,1,1,2,112,3,Others,1343.3
30,23,Male,104106,30,4,20,Electronics,950.56,18-24,High,Medium Spenders,51.431799999999996,225,20,950.56,2,2,5,225,0,Others,76044.79999999999
31,36,Other,76756,16,8,27,Clothing,970.06,35-44,Medium,Low Spenders,45.6968,176,27,970.06,3,3,5,335,0,Loyal Customers,209532.96
32,60,Female,45733,69,2,18,Electronics,197.29,55-64,Low,Medium Spenders,45.499900000000004,239,18,197.29,2,2,2,222,3,Others,7102.44
